ip_host,snmp,mac-address,hostname
172.16.0.206,SNMPv2-MIB::sysDescr.0 = OKI OkiLAN 8450e Rev.01.01 10/100BASE Ethernet PrintServer: Attached to C301 Rev.B7.00 : Copyright (c) 2012 Oki Data Corporation. All rights reserved.,00:80:87:8c:c1:c9,
172.16.0.207,,30:85:a9:3a:8b:41,qlikdir.rud.ua
172.16.0.208,,,teplo.rud.ua
172.16.0.209,,04:d4:c4:ed:d8:67,ws81.rud.ua
172.16.0.210,,,z1.rud.ua
172.16.0.211,,,pr9.rud.ua
172.16.0.212,,d0:17:c2:96:f6:2c,it.rud.ua
172.16.0.213,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:17:c8:15:b4:ba,
172.16.0.214,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:17:c8:11:c3:05,
172.16.0.215,,00:03:ff:97:f6:2c,it-xp.rud.ua
172.16.0.216,,,ws80.rud.ua
172.16.0.217,,,
172.16.0.218,,54:04:a6:ec:b8:1a,sklad2.rud.ua
172.16.0.219,,,pr14.rud.ua
172.16.0.220,,,
172.16.0.221,,ac:22:0b:76:61:3e,ws5.rud.ua
172.16.0.222,,08:60:6e:45:97:65,fw.rud.ua
172.16.0.223,,00:0c:29:86:d5:c3,dvr5.rud.ua
172.16.0.224,,00:1c:7f:8e:02:40,ngfw.rud.ua
172.16.0.225,,,
172.16.0.226,,60:a4:4c:ae:f5:f4,komers1.rud.ua
172.16.0.227,,bc:ee:7b:df:33:38,ws51.rud.ua
172.16.0.228,,d4:5d:64:1d:48:97,ws97.rud.ua
172.16.0.229,SNMPv2-MIB::sysDescr.0 = Zebra Technologies ZT410-203dpi / internal wired,00:07:4d:55:6e:44,
172.16.0.230,,,technolog.rud.ua
172.16.0.231,,28:92:4a:54:09:6c,
172.16.0.232,,c0:3f:d5:a7:58:73,ws105.rud.ua
172.16.0.233,,f0:2f:74:1a:98:3d,ws123.rud.ua
172.16.0.234,,30:85:a9:a2:74:9a,kislomilk.rud.ua
172.16.0.235,,34:1a:4c:10:3a:c9,ws100.rud.ua
172.16.0.236,,,
172.16.0.237,,,
172.16.0.238,,,wp18.rud.ua
172.16.0.239,,,wp21.rud.ua
172.16.0.240,,bc:ae:c5:bd:8e:e5,ws13.rud.ua
172.16.0.241,,,wifi.rud.ua
172.16.0.242,,,tech3.rud.ua
172.16.0.243,,,
172.16.0.244,,,
172.16.0.245,,08:00:27:e7:3a:18,print.rud.ua
172.16.0.246,,,
172.16.0.247,,,baza.rud.ua
172.16.0.248,,d4:5d:64:1d:29:74,ws102.rud.ua
172.16.0.249,,,manager.rud.ua
172.16.0.250,,00:11:32:9a:87:ed,ds2.rud.ua
172.16.0.251,,,wp12.rud.ua
172.16.0.252,,00:0c:29:9f:9b:96,navoldrdp.rud.ua
172.16.0.253,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:17:c8:b6:8a:7f,baza2.rud.ua
